,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tên dự án:,Delivery Management System,Số test case:,716,,,,,,,,,,,
714,Sta_ThemNV_TC_05,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra để trống Ngày sinh (DateOfBirth),User đã đăng nhập. Hệ thống sẵn sàng.,1,Mở trang /staff/add và để trống DateOfBirth,DateOfBirth: (rỗng),Hiển thị lỗi validation: Vui lòng nhập ngày sinh,,,,High
715,,,,,,,2,Nhập Staff Name,Name: Trần Văn C,,,,,
716,,,,,,,3,Nhập Email sai định dạng,Email: invalidemail,,,,,
717,,,,,,,4,"Nhập Phone, Location, Department, Position, Role",Filled,,,,,
718,,,,,,,5,Click Thêm nhân viên,Button click,"Validation error: ""Email không hợp lệ.""",,,,
719,Sta_ThemNV_TC_06,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra để trống Khu vực hoạt động (Working Area),User đã đăng nhập. Hệ thống sẵn sàng.,1,Mở trang /staff/add và để trống Working Area,WorkingArea: (rỗng),Hiển thị lỗi validation: Vui lòng chọn khu vực hoạt động,,,,High
720,,,,,,,2,Nhập Staff Name khác,Name: Trần Văn D,,,,,
721,,,,,,,3,Nhập Email đã tồn tại,Email: existing@example.com,,,,,
722,,,,,,,4,"Nhập Phone, Location, Department, Position, Role",Filled,,,,,
723,,,,,,,5,Click Thêm nhân viên,Button click,"Validation error: ""Email này đã được sử dụng.""",,,,
724,Sta_ThemNV_TC_07,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra Số CCCD đã tồn tại (không cho phép trùng),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập CCCD đã tồn tại,IdCardNumber: 111111111111,Hiển thị lỗi: CCCD này đã được sử dụng,,,,High
725,Sta_ThemNV_TC_08,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra SĐT sai định dạng,User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập Phone sai định dạng,Phone: 123 (quá ngắn),Hiển thị lỗi: Số điện thoại không hợp lệ,,,,Medium
726,,,,,,,2,"Nhập Staff Name, Email, Phone",Filled,,,,,
727,,,,,,,3,Chọn vị trí công tác,Location dropdown: Mở menu,,,,,
728,,,,,,,4,Chọn một location,Option: TP. Hồ Chí Minh,,,,,
729,,,,,,,5,Nhập các trường khác,"Department, Position, Role",,,,,
730,,,,,,,6,Click Thêm nhân viên,Button click,Location được chọn thành công. Danh sách Department cập nhật dựa trên location.,,,,
731,Sta_ThemNV_TC_09,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Chọn Chức vụ (Shipper/Driver/Staff),User đã đăng nhập. Hệ thống sẵn sàng.,1,Mở trang /staff/add và chọn Position,Position: Shipper,Form cập nhật Role tự động theo chức vụ,,,,Medium
732,,,,,,,2,"Nhập Staff Name, Email, Phone",Filled,,,,,
733,,,,,,,3,Chọn Location,Location: TP. Hồ Chí Minh,,,,,
734,,,,,,,4,Chọn phòng ban,Department dropdown: Delivery,,,,,
735,,,,,,,5,Nhập các trường khác,"Position, Role, Salary",,,,,
736,,,,,,,6,Click Thêm nhân viên,Button click,Department được chọn. Danh sách Position cập nhật dựa trên department.,,,,
737,Sta_ThemNV_TC_10,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra các trường từ 3 section (Định danh/CCCD/Xe),User đã đăng nhập. Hệ thống sẵn sàng.,1,Mở trang /staff/add và kiểm tra layout,Form hiển thị 3 section rõ ràng,Tất cả field chúng tôi bao gồm tất cả thông tin cần thiết,,,,Medium
738,,,,,,,2,"Nhập Staff Name, Email, Phone",Filled,,,,,
739,,,,,,,3,"Chọn Location, Department",Filled,,,,,
740,,,,,,,4,Chọn chức vụ,Position dropdown: Shipper,,,,,
741,,,,,,,5,Nhập các trường khác,"Role, Salary, Image",,,,,
742,,,,,,,6,Click Thêm nhân viên,Button click,Position được chọn. Role tự động cập nhật theo chức vụ.,,,,
743,Sta_ThemNV_TC_11,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Nhập dự định vào trường Loại xe (ex: Xe máy, Ô tô),User đã đăng nhập. Hệ thống sẵn sàng.,1,Chọn phần Loại xe và nhập loại,VehicleType: Xe máy,Loại xe được lưu đúng cách,,,,Medium
744,Sta_ThemNV_TC_12,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Nhập Biển số xe,User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập Biển số xe trong phần Xe,LicensePlate: 51A-12345,Biển số được lưu và validate theo định dạng,,,,Medium
745,Sta_ThemNV_TC_13,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra format ngày sinh (DD/MM/YYYY),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập DateOfBirth sai format,DateOfBirth: 1990-03-15,Hiển thị lỗi validation: Vui lòng nhập đúng định dạng DD/MM/YYYY,,,,High
746,Sta_ThemNV_TC_14,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra Số CCCD valid (12 chữ số),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập CCCD không đủ 12 số,IdCardNumber: 12345678901,Hiển thị lỗi: CCCD phải có đúng 12 chữ số,,,,High
747,Sta_ThemNV_TC_15,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra Khu vực hoạt động (ví dụ: Quận 1,2,3),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập Working Area với format đúng,WorkingArea: Quận 1;2;3,Working Area được lưu theo format đa-district (semicolon separated),,,,High
748,Sta_ThemNV_TC_16,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra SQL Injection protection,User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập SQL injection payload,Name: ' OR '1'='1,Hệ thống escape và lưu bình thường,,,,Medium
749,Sta_ThemNV_TC_17,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra XSS protection,User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập XSS payload vào tên,Name: <script>alert('xss')</script>,Script không được thực thi. Dữ liệu được escape,,,,Medium
750,Sta_ThemNV_TC_18,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra thời gian phản hồi,User đã đăng nhập. Hệ thống sẵn sàng.,1,Submit form với đầy đủ dữ liệu,Complete form data,API response trong <2 giây,,,,Medium
751,Sta_ThemNV_TC_19,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra UI Responsive trên Mobile,User đã đăng nhập. Hệ thống sẵn sàng.,1,Truy cập trang /staff/add trên mobile,Screen width: 375px,Form hiển thị đúng. Tất cả field có thể interactable,,,,Medium
752,Sta_ThemNV_TC_20,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra thông báo lỗi (màu đỏ),User đã đăng nhập. Hệ thống sẵn sàng.,1,Submit form có field để trống,Incomplete form,Thông báo lỗi hiển thị màu đỏ rõ ràng,,,,Medium
753,Sta_ThemNV_TC_21,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra thông báo thành công,User đã đăng nhập. Hệ thống sẵn sàng.,1,Submit form hợp lệ,Valid staff data,Thông báo thành công (xanh lá) hiển thị,,,,High
754,Sta_ThemNV_TC_22,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra form có đủ 3 section (Định danh/CCCD/Loại xe),User đã đăng nhập. Hệ thống sẵn sàng.,1,Mở trang /staff/add và kiểm tra layout,Form structure check,3 section: Định danh (Name/DOB/Hometown), CCCD (IdCard/12digit), Xe (Type/License),,,,High
755,,,,,,,2,Nhập tên nhân viên,Staff Name: Trần Văn C,,,,,
756,,,,,,,3,Nhập email,Email: tranvanc@example.com,,,,,
757,,,,,,,4,Nhập số điện thoại,Phone: 0909876543,,,,,
758,,,,,,,5,Chọn vị trí công tác,Location: TP. Hồ Chí Minh,,,,,
759,,,,,,,6,Chọn phòng ban,Department: Delivery,,,,,
760,,,,,,,7,Chọn chức vụ,Position: Shipper,,,,,
761,,,,,,,8,Chọn quyền truy cập,Role: Delivery Staff,,,,,
762,,,,,,,9,Nhập lương/hoa hồng,Salary: 5000000 VND,,,,,
763,,,,,,,10,Upload ảnh nhân viên,Image file: avatar.jpg,,,,,
764,,,,,,,11,Click nút Thêm nhân viên,Button ID: btn-add-staff,Nhân viên được tạo thành công. Email mời được gửi. Chuyển tới danh sách nhân viên.,,,,
765,Sta_ThemNV_TC_23,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra nút Hủy (Cancel),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập dữ liệu và click Cancel,Button: Cancel,Trở về trang danh sách. Dữ liệu không được lưu,,,,Medium
766,Sta_ThemNV_TC_24,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra loading state khi gửi form,User đã đăng nhập. Hệ thống sẵn sàng.,1,Submit form và quan sát,Valid data submission,Button show loading spinner. Không thể double-click,,,,Medium
757,Sta_ThemNV_TC_25,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Thêm khi Server down,User đã đăng nhập. Hệ thống sẵn sàng.,1,Tắt API server và submit,API offline,Hiển thị lỗi connection. Dữ liệu cóthể retry,,,,Medium
768,Sta_ThemNV_TC_26,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra Double-click protection,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra Double-click protection,Test Data TBD,Expected Result TBD,,,,Low
769,Sta_ThemNV_TC_27,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra phân quyền: Chữ Admin có quyền thêm,User đã đăng nhập. Hệ thống sẵn sàng.,1,Truy cập /staff/add với vai trò Shipper,Shipper role access,403 Forbidden - chữ Admin mới có quyền,,,,Medium
770,Sta_ThemNV_TC_28,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra audit log ghi nhận tạo nhân viên,User đã đăng nhập. Hệ thống sẵn sàng.,1,Tạo nhân viên mới và kiểm tra audit log,New staff creation,Audit log có entry: Admin X tạo nhân viên At timestamp,,,,Medium
771,Sta_ThemNV_TC_29,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra email xác thực tài khoản shipper,User đã đăng nhập. Hệ thống sẵn sàng.,1,Tạo nhân viên và kiểm tra email,New staff data,Email mời được gửi đển địa chỉ email. Link verification có 4h timeout,,,,High
772,Sta_ThemNV_TC_30,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra validate thời gian: Ngày sinh không được sau ngày hôm nay,User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập ngày sinh tuương lai,DateOfBirth: 25/12/2025,Hiển lỗi: Ngày sinh không hợp lệ,,,,High
773,Sta_ThemNV_TC_31,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra Quê quán là kv hợp lệ,User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập Hometown vào location dropdown,Hometown: Quận 7,Quận 7 có trong danh sách và được chọn,,,,Medium
774,Sta_ThemNV_TC_32,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra Khu vực hoạt động định dạng (phiên bản 2024+),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập Working Area đúng format,WorkingArea: Quận 1;Quận 2;Quận 3,Mộc phân cách bằng dấu chấm phẩy (semicolon),,,,High
775,Sta_ThemNV_TC_33,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra upload ảnh đại diện,User đã đăng nhập. Hệ thống sẵn sàng.,1,Tải file ảnh .jpg và submit,File: avatar.jpg (500KB),ảnh được lưu và có thể xem trong danh sách,,,,Medium
776,Sta_ThemNV_TC_34,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra ảnh file quá lớn (>2MB),User đã đăng nhập. Hệ thống sẵn sàng.,1,Tải ảnh lớn hơn 2MB,File: large.jpg (5MB),Hiển lỗi: File quá lớn. Tối đa 2MB,,,,Medium
777,Sta_ThemNV_TC_35,Staff Management,Sta_ThemNV,Thêm nhân viên mới,Kiểm tra CSRF token khi thêm,User đã đăng nhập. Hệ thống sẵn sàng.,1,Submit form và kiểm tra CSRF header,CSRF token: valid,Request có CSRF token. Protection đang hoạt động,,,,Medium
778,Sta_XoaNv_TC_01,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Xóa nhân viên thành công (soft delete),User đã đăng nhập. Hệ thống sẵn sàng.,1,Chọn nhân viên và click Xóa,Staff ID: STF_001,Nhân viên được soft delete. Không hiển thị trong danh sách,,,,High
779,Sta_XoaNv_TC_02,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Kiểm tra hộp thoại xác nhận (Confirmation Dialog),User đã đăng nhập. Hệ thống sẵn sàng.,1,Nhập vào menu xóa nhân viên,Staff record action,Hiển confirm dialog: 'Bạn chắc chắn muốn xóa?',,,,High
780,Sta_XoaNv_TC_03,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Hủy xóa nhân viên,User đã đăng nhập. Hệ thống sẵn sàng.,1,Click nút 'Không' trong confirm,Dialog button: No,Hộp thoại đóng. Nhân viên vẫn tị tế cỼ hạt (không bị xóa),,,,High
781,Sta_XoaNv_TC_04,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Xác nhận xóa nhân viên,User đã đăng nhập. Hệ thống sẵn sàng.,1,Click nút 'Có' trong confirm,Dialog button: Yes,Nhân viên bị xóa. Thông báo thành công hiển thị,,,,High
782,Sta_XoaNv_TC_05,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Xóa nhân viên không được chọn,User đã đăng nhập. Hệ thống sẵn sàng.,1,Không chọn nhân viên và click Xóa,No selection,Nút Xóa disabled hoặc hiển lỗi: Vui lòng chọn nhân viên,,,,Medium
783,Sta_XoaNv_TC_06,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Xóa nhân viên đang hoạt động,User đã đăng nhập. Hệ thống sẵn sàng.,1,Chọn nhân viên đang hoạt động,Active staff record,Hiển thông báo: 'Không thể xóa nhân viên đang hoạt động',,,,Medium
784,Sta_XoaNv_TC_07,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Kiểm tra soft delete (đữ liệu vẫn có trong DB),User đã đăng nhập. Hệ thống sẵn sàng.,1,Xóa nhân viên và kiểm tra database,Database query: SELECT * FROM Staff WHERE IsDeleted=1,Dữ liệu nhân viên vẫn có trong DB với flag IsDeleted=true,,,,Medium
785,Sta_XoaNv_TC_08,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Kiểm tra hard delete,User đã đăng nhập. Hệ thống sẵn sàng.,1,Hard delete và kiểm tra database (Admin only),Admin action: DELETE,Dữ liệu hoàn toàn xóa khỏi DB (không thể khôi phục),,,,Medium
786,Sta_XoaNv_TC_09,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Xóa multiple nhân viên cùng lúc,User đã đăng nhập. Hệ thống sẵn sàng.,1,Chọn many staff và bulk delete,Multiple selections: 5 staff,Tất cả 5 nhân viên được xóa. Thông báo: '5 nhân viên đã bị xóa',,,,Medium
787,Sta_XoaNv_TC_10,Staff Management,Sta_XoaNv,Xóa nhân viên khỏi hệ thống,Kiểm tra audit log ghi nhận xóa,User đã đăng nhập. Hệ thống sẵn sàng.,1,Xóa nhân viên và kiểm tra audit log,Deletion action,Audit log: 'Admin Y đã xóa nhân viên Z vào lúc [timestamp]',,,,Medium
788,Sta_ChiTietNV_TC_01,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Xem chi tiết nhân viên thành công với tất cả thông tin,User đã đăng nhập. Hệ thống sẵn sàng.,1,Click vào nhân viên trong danh sách,Staff ID: STF_001,Trang chi tiết mở thành công. Tất cả field đầy đủ,,,,High
789,Sta_ChiTietNV_TC_02,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra hiển thị đầy đủ 3 section,User đã đăng nhập. Hệ thống sẵn sàng.,1,Mở trang chi tiết và kiểm tra layout,Staff record view,3 section visible: Định danh, CCCD, xe details,,,,High
790,Sta_ChiTietNV_TC_03,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra format ngày sinh DD/MM/YYYY,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra field DateOfBirth,Staff record view,Ngày sinh hiển thị đúng format DD/MM/YYYY,,,,Medium
791,Sta_ChiTietNV_TC_04,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra CCCD được định dạng 12 chữ số,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra field IdCardNumber,Staff record view,CCCD hiển thị đúng 12 chữ số format,,,,Medium
792,Sta_ChiTietNV_TC_05,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra Quê quán hiển thị chính xác,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra field Hometown,Staff record view,Hometown hiển thị đúng,,,,Medium
793,Sta_ChiTietNV_TC_06,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra Khu vực hoạt động,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra field WorkingArea,Staff record view,Working Area hiển thị đúng format multi-district,,,,Medium
794,Sta_ChiTietNV_TC_07,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra nút Chỉnh sửa mở form với tất cả dữ liệu,User đã đăng nhập. Hệ thống sẵn sàng.,1,Click nút Chỉnh sửa,Edit button action,Form mở đầy đủ thông tin.  Tất cả field có thể chỉnh sửa,,,,Medium
795,Sta_ChiTietNV_TC_08,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra nút Xóa hiện confirm dialog,User đã đăng nhập. Hệ thống sẵn sàng.,1,Click nút Xóa,Delete button action,Confirm dialog appears asking for confirmation,,,,Medium
796,Sta_ChiTietNV_TC_09,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra nút Kích hoạt/Khóa tài khoản,User đã đăng nhập. Hệ thống sẵn sàng.,1,Click nút Kích hoạt/Khóa,Toggle button,Account status changes. Cannot login if locked,,,,Medium
797,Sta_ChiTietNV_TC_10,Staff Management,Sta_ChiTietNV,Xem chi tiết thông tin về nhân viên,Kiểm tra địa chỉ/SĐT/Email hiển thị đúng,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra contact fields,Staff record view,Address, Phone, Email display correctly,,,,Medium
798,Sta_XemDonNV_TC_01,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng theo khu vực hoạt động,Xem số đơn của nhân viên thành công (lọc theo khu vực hoạt động),User đã đăng nhập. Hệ thống sẵn sàng.,1,Truy cập trang xem đơn hàng nhân viên,Staff ID: STF_001,Đã hiển thị đơn hàng theo khu vực hoạt động,,,,High
799,Sta_XemDonNV_TC_02,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra trạng thái đơn,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra trạng thái đơn,Test Data TBD,Expected Result TBD,,,,Low
800,Sta_XemDonNV_TC_03,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra khoảng ngày,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra khoảng ngày,Test Data TBD,Expected Result TBD,,,,Low
801,Sta_XemDonNV_TC_04,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra lọc theo trạng thái,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra lọc theo trạng thái,Test Data TBD,Expected Result TBD,,,,Low
802,Sta_XemDonNV_TC_05,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra sắp xếp theo ngày,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra sắp xếp theo ngày,Test Data TBD,Expected Result TBD,,,,Low
803,Sta_XemDonNV_TC_06,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra sắp xếp theo tiền,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra sắp xếp theo tiền,Test Data TBD,Expected Result TBD,,,,Low
804,Sta_XemDonNV_TC_07,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra phân trang,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra phân trang,Test Data TBD,Expected Result TBD,,,,Low
805,Sta_XemDonNV_TC_08,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra tổng doanh thu,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra tổng doanh thu,Test Data TBD,Expected Result TBD,,,,Low
806,Sta_XemDonNV_TC_09,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra số đơn pending,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra số đơn pending,Test Data TBD,Expected Result TBD,,,,Low
807,Sta_XemDonNV_TC_10,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra số đơn completed,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra số đơn completed,Test Data TBD,Expected Result TBD,,,,Low
808,Sta_XemDonNV_TC_11,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra số đơn cancelled,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra số đơn cancelled,Test Data TBD,Expected Result TBD,,,,Low
809,Sta_XemDonNV_TC_12,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra tỷ lệ thành công,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra tỷ lệ thành công,Test Data TBD,Expected Result TBD,,,,Low
810,Sta_XemDonNV_TC_13,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra rating trung bình,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra rating trung bình,Test Data TBD,Expected Result TBD,,,,Low
811,Sta_XemDonNV_TC_14,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra xuất Excel,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra xuất Excel,Test Data TBD,Expected Result TBD,,,,Low
812,Sta_XemDonNV_TC_15,Staff Management,Sta_XemDonNV,Xem số lượng đơn hàng của nhân viên,Kiểm tra print báo cáo,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra print báo cáo,Test Data TBD,Expected Result TBD,,,,Low
813,Usr_ThemTK_TC_01,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Thêm tài khoản thành công,User đã đăng nhập. Hệ thống sẵn sàng.,1,Thêm tài khoản thành công,Test Data TBD,Expected Result TBD,,,,Medium
814,Usr_ThemTK_TC_02,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra để trống tên đăng nhập,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra để trống tên đăng nhập,Test Data TBD,Expected Result TBD,,,,Medium
815,Usr_ThemTK_TC_03,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra để trống email,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra để trống email,Test Data TBD,Expected Result TBD,,,,Medium
816,Usr_ThemTK_TC_04,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra để trống mật khẩu,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra để trống mật khẩu,Test Data TBD,Expected Result TBD,,,,Medium
817,Usr_ThemTK_TC_05,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra tên đăng nhập trùng,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra tên đăng nhập trùng,Test Data TBD,Expected Result TBD,,,,Medium
818,Usr_ThemTK_TC_06,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra email trùng,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra email trùng,Test Data TBD,Expected Result TBD,,,,Medium
819,Usr_ThemTK_TC_07,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra email sai định dạng,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra email sai định dạng,Test Data TBD,Expected Result TBD,,,,Medium
820,Usr_ThemTK_TC_08,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra mật khẩu quá ngắn,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra mật khẩu quá ngắn,Test Data TBD,Expected Result TBD,,,,Medium
821,Usr_ThemTK_TC_09,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra mật khẩu quá dài,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra mật khẩu quá dài,Test Data TBD,Expected Result TBD,,,,Medium
822,Usr_ThemTK_TC_10,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Chọn role cho tài khoản,User đã đăng nhập. Hệ thống sẵn sàng.,1,Chọn role cho tài khoản,Test Data TBD,Expected Result TBD,,,,Medium
823,Usr_ThemTK_TC_11,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Chọn quyền truy cập,User đã đăng nhập. Hệ thống sẵn sàng.,1,Chọn quyền truy cập,Test Data TBD,Expected Result TBD,,,,Medium
824,Usr_ThemTK_TC_12,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Gán phòng ban,User đã đăng nhập. Hệ thống sẵn sàng.,1,Gán phòng ban,Test Data TBD,Expected Result TBD,,,,Medium
825,Usr_ThemTK_TC_13,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra SQL Injection,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra SQL Injection,Test Data TBD,Expected Result TBD,,,,Medium
826,Usr_ThemTK_TC_14,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra XSS protection,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra XSS protection,Test Data TBD,Expected Result TBD,,,,Medium
827,Usr_ThemTK_TC_15,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra thời gian phản hồi,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra thời gian phản hồi,Test Data TBD,Expected Result TBD,,,,Medium
828,Usr_ThemTK_TC_16,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra UI Responsive,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra UI Responsive,Test Data TBD,Expected Result TBD,,,,Medium
829,Usr_ThemTK_TC_17,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra thông báo lỗi,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra thông báo lỗi,Test Data TBD,Expected Result TBD,,,,Medium
830,Usr_ThemTK_TC_18,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra thông báo thành công,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra thông báo thành công,Test Data TBD,Expected Result TBD,,,,Medium
831,Usr_ThemTK_TC_19,User Management,Usr_ThemTK,Thêm tài khoản vào hệ thống,Kiểm tra nút Hủy,User đã đăng nhập. Hệ thống sẵn sàng.,1,Kiểm tra nút Hủy,Test Data TBD,Expected Result TBD,,,,Medium
